,address,name,category,kakao_keyword,kakaomap_url,kakao_name,kakao_category,kakao_star,kakao_star_num
71,서울특별시 노원구 공릉동 400-14,피자나라 치킨공주 공릉점,통닭(치킨),공릉동 피자나라 치킨공주 공릉점,https://place.map.kakao.com/26349555,피자나라치킨공주 서울공릉점,피자나라치킨공주,3.8,4
72,서울특별시 노원구 공릉동 362-7 은진교회 2층 ,82wa 김치솥뚜껑 삼겹살,식육(숯불구이),공릉동 82wa 김치솥뚜껑 삼겹살,https://place.map.kakao.com/1709604684,82wa솥뚜껑김치삼겹살&특수부위,"육류,고기",4.7,3
73,서울특별시 노원구 공릉동 362-7번지 은진교회 ,예촌손수제비,한식,공릉동 예촌손수제비,https://place.map.kakao.com/1142080205,예촌손수제비,수제비,4.6,8
74,서울특별시 노원구 공릉동 383-18,향토곱창,한식,공릉동 향토곱창,https://place.map.kakao.com/16819810,향토곱창,"곱창,막창",2.5,8
75,서울특별시 노원구 공릉동 375-1번지 ,1988옛날통닭,호프/통닭,공릉동 1988옛날통닭,https://place.map.kakao.com/1447648375,1988옛날통닭,치킨,0,0
76,서울특별시 노원구 공릉동 493-12,청정꼬막,한식,공릉동 청정꼬막,https://place.map.kakao.com/1154140033,청정꼬막,"해물,생선",3.5,2
77,서울특별시 노원구 공릉동 493-12 1층,청담족발,한식,공릉동 청담족발,https://place.map.kakao.com/20036136,청담족발,"족발,보쌈",5.0,2
78,서울특별시 노원구 공릉동 571-16,소문난멸치국수,한식,공릉동 소문난멸치국수,https://place.map.kakao.com/13305804,소문난멸치국수,국수,3.3,57
79,서울특별시 노원구 공릉동 383-17번지 ,압구정찌개마을,한식,공릉동 압구정찌개마을,https://place.map.kakao.com/20748457,압구정찌개마을 공릉본점,"찌개,전골",4.0,8
80,서울특별시 노원구 공릉동 398-1번지 ,오케이 삼겹살,한식,공릉동 오케이 삼겹살,https://place.map.kakao.com/27515501,오케이삼겹살,"육류,고기",5.0,6
81,서울특별시 노원구 공릉동 573-4,제일식당,한식,공릉동 제일식당,https://place.map.kakao.com/16051613,제일식당,"찌개,전골",5.0,3
82,서울특별시 노원구 공릉동 573-5,장수멸치국수,한식,공릉동 장수멸치국수,https://place.map.kakao.com/16080945,장수멸치국수,국수,3.0,3
83,서울특별시 노원구 공릉동 573-20번지 1층 ,굽네치킨,통닭(치킨),공릉동 굽네치킨,https://place.map.kakao.com/8220672,"굽네치킨 공릉1,3동점",굽네치킨,1.8,5
84,서울특별시 노원구 공릉동 573-22번지 유정음식점 1층 ,유정집,한식,공릉동 유정집,https://place.map.kakao.com/16875802,유정집 공릉점,"육류,고기",2.7,3
